time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
03:38.1,None,NaN,NaN,NaN,24.375,None
03:38.9,None,NaN,NaN,NaN,24.375,None
03:39.6,None,NaN,NaN,NaN,24.375,None
03:40.3,None,NaN,NaN,NaN,24.375,None
03:41.0,None,NaN,NaN,NaN,24.3125,None
03:41.7,None,NaN,NaN,NaN,24.375,None
03:42.4,None,NaN,NaN,NaN,24.375,None
03:43.1,None,NaN,NaN,NaN,24.375,None
03:43.9,None,NaN,NaN,NaN,24.375,None
03:44.6,None,NaN,NaN,NaN,24.3125,None
03:45.3,None,NaN,NaN,NaN,24.3125,None
03:46.0,None,NaN,NaN,NaN,24.375,None
03:46.7,None,NaN,NaN,NaN,24.375,None
03:47.5,None,NaN,NaN,NaN,24.375,None
03:48.2,None,NaN,NaN,NaN,24.375,None
03:48.9,None,NaN,NaN,NaN,24.375,None
03:49.6,None,NaN,NaN,NaN,24.375,None
03:50.4,None,NaN,NaN,NaN,24.375,None
03:51.1,None,NaN,NaN,NaN,24.375,None
03:51.8,None,NaN,NaN,NaN,24.375,None
03:52.5,None,NaN,NaN,NaN,24.375,None
03:53.2,None,NaN,NaN,NaN,24.4375,None
03:53.9,None,NaN,NaN,NaN,24.375,None
03:54.7,None,NaN,NaN,NaN,24.375,None
03:55.4,None,NaN,NaN,NaN,24.375,None
03:56.1,None,NaN,NaN,NaN,24.375,None
03:56.8,None,NaN,NaN,NaN,24.375,None
03:57.5,None,NaN,NaN,NaN,24.375,None
03:58.2,None,NaN,NaN,NaN,24.375,None
03:59.0,None,NaN,NaN,NaN,24.375,None
03:59.7,None,NaN,NaN,NaN,24.375,None
04:00.4,None,NaN,NaN,NaN,24.375,None
04:01.1,None,NaN,NaN,NaN,24.375,None
04:01.9,None,NaN,NaN,NaN,24.375,None
04:02.6,None,NaN,NaN,NaN,24.375,None
04:03.3,None,NaN,NaN,NaN,24.375,None
04:04.1,None,NaN,NaN,NaN,24.375,None
04:04.8,None,NaN,NaN,NaN,24.375,None
