time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
10:59.6,None,NaN,NaN,NaN,24.0625,None
11:00.5,None,NaN,NaN,NaN,24.0625,None
11:01.5,None,NaN,NaN,NaN,24.0625,None
11:02.5,None,NaN,NaN,NaN,24.125,None
11:03.6,None,NaN,NaN,NaN,24.0625,None
11:04.5,None,NaN,NaN,NaN,24.125,None
11:05.5,None,NaN,NaN,NaN,24.0625,None
11:06.5,None,NaN,NaN,NaN,24.125,None
11:07.6,None,NaN,NaN,NaN,24.125,None
11:08.6,None,NaN,NaN,NaN,24.125,None
11:09.5,None,NaN,NaN,NaN,24.125,None
11:10.5,None,NaN,NaN,NaN,24.125,None
11:11.6,None,NaN,NaN,NaN,24.125,None
11:12.6,None,NaN,NaN,NaN,24.125,None
11:13.5,None,NaN,NaN,NaN,24.125,None
11:14.5,None,NaN,NaN,NaN,24.125,None
11:15.6,None,NaN,NaN,NaN,24.125,None
11:16.6,None,NaN,NaN,NaN,24.125,None
11:17.5,None,NaN,NaN,NaN,24.125,None
11:18.5,None,NaN,NaN,NaN,24.125,None
11:19.5,None,NaN,NaN,NaN,24.125,None
11:20.5,None,NaN,NaN,NaN,24.125,None
11:21.6,None,NaN,NaN,NaN,24.125,None
11:22.5,None,NaN,NaN,NaN,24.125,None
11:23.5,None,NaN,NaN,NaN,24.125,None
11:24.6,None,NaN,NaN,NaN,24.125,None
11:25.6,None,NaN,NaN,NaN,24.125,None
11:26.5,None,NaN,NaN,NaN,24.125,None
11:27.5,None,NaN,NaN,NaN,24.125,None
11:28.5,None,NaN,NaN,NaN,24.125,None
11:29.6,None,NaN,NaN,NaN,24.1875,None
11:30.5,None,NaN,NaN,NaN,24.1875,None
11:31.5,None,NaN,NaN,NaN,24.125,None
11:32.5,None,NaN,NaN,NaN,24.125,None
11:33.5,None,NaN,NaN,NaN,24.125,None
11:34.6,None,NaN,NaN,NaN,24.125,None
11:35.5,None,NaN,NaN,NaN,24.125,None
11:36.5,None,NaN,NaN,NaN,24.125,None
11:37.5,None,NaN,NaN,NaN,24.125,None
11:38.6,None,NaN,NaN,NaN,24.1875,None
11:39.5,None,NaN,NaN,NaN,24.1875,None
11:40.5,None,NaN,NaN,NaN,24.1875,None
11:41.5,None,NaN,NaN,NaN,24.1875,None
11:42.6,None,NaN,NaN,NaN,24.125,None
11:43.5,None,NaN,NaN,NaN,24.1875,None
11:44.5,None,NaN,NaN,NaN,24.1875,None
11:45.5,None,NaN,NaN,NaN,24.1875,None
11:46.6,None,NaN,NaN,NaN,24.1875,None
11:47.6,None,NaN,NaN,NaN,24.1875,None
11:48.5,None,NaN,NaN,NaN,24.1875,None
11:49.5,None,NaN,NaN,NaN,24.1875,None
11:50.6,None,NaN,NaN,NaN,24.1875,None
11:51.6,None,NaN,NaN,NaN,24.1875,None
11:52.5,None,NaN,NaN,NaN,24.1875,None
11:53.5,None,NaN,NaN,NaN,24.1875,None
11:54.6,None,NaN,NaN,NaN,24.1875,None
11:55.6,None,NaN,NaN,NaN,24.1875,None
11:56.5,None,NaN,NaN,NaN,24.1875,None
11:57.6,None,NaN,NaN,NaN,24.1875,None
11:58.6,None,NaN,NaN,NaN,24.1875,None
11:59.6,None,NaN,NaN,NaN,24.1875,None
12:00.6,None,NaN,NaN,NaN,24.1875,None
12:01.5,None,NaN,NaN,NaN,24.1875,None
12:02.5,None,NaN,NaN,NaN,24.1875,None
12:03.6,None,NaN,NaN,NaN,24.1875,None
12:04.6,None,NaN,NaN,NaN,24.25,None
12:05.5,None,NaN,NaN,NaN,24.1875,None
12:06.5,None,NaN,NaN,NaN,24.1875,None
12:07.5,None,NaN,NaN,NaN,24.1875,None
12:08.6,None,NaN,NaN,NaN,24.1875,None
12:09.5,None,NaN,NaN,NaN,24.1875,None
12:10.5,None,NaN,NaN,NaN,24.1875,None
12:11.5,None,NaN,NaN,NaN,24.1875,None
12:12.6,None,NaN,NaN,NaN,24.1875,None
12:13.5,None,NaN,NaN,NaN,24.1875,None
12:14.5,None,NaN,NaN,NaN,24.25,None
12:15.5,None,NaN,NaN,NaN,24.25,None
12:16.6,None,NaN,NaN,NaN,24.1875,None
12:17.6,None,NaN,NaN,NaN,24.1875,None
12:18.5,None,NaN,NaN,NaN,24.1875,None
12:19.5,None,NaN,NaN,NaN,24.25,None
12:20.6,None,NaN,NaN,NaN,24.25,None
12:21.6,None,NaN,NaN,NaN,24.1875,None
12:22.5,None,NaN,NaN,NaN,24.25,None
12:23.5,None,NaN,NaN,NaN,24.25,None
12:24.5,None,NaN,NaN,NaN,24.1875,None
12:25.6,None,NaN,NaN,NaN,24.25,None
12:26.5,None,NaN,NaN,NaN,24.25,None
12:27.5,None,NaN,NaN,NaN,24.25,None
12:28.5,None,NaN,NaN,NaN,24.25,None
12:29.6,None,NaN,NaN,NaN,24.25,None
12:30.6,None,NaN,NaN,NaN,24.25,None
12:31.5,None,NaN,NaN,NaN,24.25,None
12:32.5,None,NaN,NaN,NaN,24.3125,None
12:33.6,None,NaN,NaN,NaN,24.25,None
12:34.6,None,NaN,NaN,NaN,24.3125,None
12:35.5,None,NaN,NaN,NaN,24.3125,None
12:36.5,None,NaN,NaN,NaN,24.3125,None
12:37.5,None,NaN,NaN,NaN,24.25,None
12:38.6,None,NaN,NaN,NaN,24.25,None
12:39.5,None,NaN,NaN,NaN,24.3125,None
12:40.5,None,NaN,NaN,NaN,24.3125,None
12:41.5,None,NaN,NaN,NaN,24.25,None
12:42.6,None,NaN,NaN,NaN,24.3125,None
12:43.6,None,NaN,NaN,NaN,24.3125,None
12:44.5,None,NaN,NaN,NaN,24.25,None
12:45.6,None,NaN,NaN,NaN,24.3125,None
12:46.6,None,NaN,NaN,NaN,24.3125,None
12:47.6,None,NaN,NaN,NaN,24.3125,None
12:48.5,None,NaN,NaN,NaN,24.3125,None
12:49.5,None,NaN,NaN,NaN,24.3125,None
12:50.6,None,NaN,NaN,NaN,24.3125,None
12:51.6,None,NaN,NaN,NaN,24.3125,None
12:52.5,None,NaN,NaN,NaN,24.3125,None
12:53.5,None,NaN,NaN,NaN,24.3125,None
12:54.5,None,NaN,NaN,NaN,24.3125,None
12:55.6,None,NaN,NaN,NaN,24.375,None
12:56.6,None,NaN,NaN,NaN,24.3125,None
12:57.6,None,NaN,NaN,NaN,24.3125,None
12:58.5,None,NaN,NaN,NaN,24.3125,None
12:59.6,None,NaN,NaN,NaN,24.3125,None
13:00.6,None,NaN,NaN,NaN,24.3125,None
13:01.5,None,NaN,NaN,NaN,24.3125,None
13:02.5,None,NaN,NaN,NaN,24.375,None
13:03.6,None,NaN,NaN,NaN,24.3125,None
13:04.6,None,NaN,NaN,NaN,24.3125,None
13:05.5,None,NaN,NaN,NaN,24.3125,None
13:06.6,None,NaN,NaN,NaN,24.3125,None
13:07.6,None,NaN,NaN,NaN,24.3125,None
13:08.6,None,NaN,NaN,NaN,24.3125,None
13:09.5,None,NaN,NaN,NaN,24.3125,None
13:10.6,None,NaN,NaN,NaN,24.3125,None
13:11.6,None,NaN,NaN,NaN,24.3125,None
13:12.6,None,NaN,NaN,NaN,24.375,None
13:13.6,None,NaN,NaN,NaN,24.375,None
13:14.5,None,NaN,NaN,NaN,24.375,None
13:15.6,None,NaN,NaN,NaN,24.375,None
13:16.6,None,NaN,NaN,NaN,24.3125,None
13:17.6,None,NaN,NaN,NaN,24.375,None
13:18.5,None,NaN,NaN,NaN,24.375,None
13:19.5,None,NaN,NaN,NaN,24.3125,None
13:20.6,None,NaN,NaN,NaN,24.375,None
13:21.6,None,NaN,NaN,NaN,24.375,None
13:22.5,None,NaN,NaN,NaN,24.4375,None
13:23.5,None,NaN,NaN,NaN,24.375,None
13:24.6,None,NaN,NaN,NaN,24.375,None
13:25.6,None,NaN,NaN,NaN,24.375,None
13:26.6,None,NaN,NaN,NaN,24.375,None
13:27.5,None,NaN,NaN,NaN,24.4375,None
13:28.5,None,NaN,NaN,NaN,24.375,None
13:29.6,None,NaN,NaN,NaN,24.375,None
13:30.6,None,NaN,NaN,NaN,24.375,None
13:31.5,None,NaN,NaN,NaN,24.375,None
13:32.5,None,NaN,NaN,NaN,24.375,None
13:33.6,None,NaN,NaN,NaN,24.375,None
13:34.6,None,NaN,NaN,NaN,24.375,None
13:35.5,None,NaN,NaN,NaN,24.375,None
13:36.5,None,NaN,NaN,NaN,24.375,None
13:37.6,None,NaN,NaN,NaN,24.375,None
13:38.6,None,NaN,NaN,NaN,24.375,None
13:39.6,None,NaN,NaN,NaN,24.375,None
13:40.5,None,NaN,NaN,NaN,24.4375,None
13:41.6,None,NaN,NaN,NaN,24.4375,None
